Country,Year,Metier,Vessel_length,Area,Species,Stock,Landings,Value,check,catch_check,kw_days,Days_at_sea,No_vessels,effort_check
BE,2009,GNS_DEF,10<24m,27.7.d,COD,NA,0.487,989.11,1,1,NA,NA,NA,NA
BE,2009,GNS_DEF,10<24m,27.7.d,DAB,NA,0.368,242.75,2,2,NA,NA,NA,NA
BE,2009,GNS_DEF,10<24m,27.7.d,LEM,NA,0.036,79.24,3,3,NA,NA,NA,NA
BE,2009,GNS_DEF,10<24m,27.7.d,OTH,NA,3.668,14773.3,4,4,NA,NA,NA,NA
BE,2009,GNS_DEF,10<24m,27.7.d,PLE,NA,0.329,421.69,5,5,NA,NA,NA,NA
BE,2009,GNS_DEF,10<24m,27.7.d,POL,NA,0.156,346.82,6,6,NA,NA,NA,NA
BE,2009,GNS_DEF,10<24m,27.7.d,RJA,NA,0.005,4.46,7,7,NA,NA,NA,NA
BE,2009,GNS_DEF,10<24m,27.7.d,SOL,NA,13.772,116397.87,8,8,NA,NA,NA,NA
BE,2009,GNS_DEF,10<24m,27.7.d,WHG,NA,0.149,128.16,9,9,NA,NA,NA,NA
BE,2009,GTR_DEF,10<24m,27.7.d,COD,NA,0.08,175.41,10,10,NA,NA,NA,NA
BE,2009,GTR_DEF,10<24m,27.7.d,DAB,NA,0.168,149.78,11,11,NA,NA,NA,NA
BE,2009,GTR_DEF,10<24m,27.7.d,LEM,NA,0.008,20.68,12,12,NA,NA,NA,NA
BE,2009,GTR_DEF,10<24m,27.7.d,OTH,NA,0.387,1875.99,13,13,NA,NA,NA,NA
BE,2009,GTR_DEF,10<24m,27.7.d,PLE,NA,0.026,48.86,14,14,NA,NA,NA,NA
BE,2009,GTR_DEF,10<24m,27.7.d,POL,NA,0.015,27.99,15,15,NA,NA,NA,NA
BE,2009,GTR_DEF,10<24m,27.7.d,RJA,NA,1.023,1505.27,16,16,NA,NA,NA,NA
BE,2009,GTR_DEF,10<24m,27.7.d,SOL,NA,4.008,28921.47,17,17,NA,NA,NA,NA
BE,2009,GTR_DEF,10<24m,27.7.d,TUR,NA,3.811,28728.51,18,18,NA,NA,NA,NA
BE,2009,GTR_DEF,10<24m,27.7.d,WHG,NA,0.028,52.76,19,19,NA,NA,NA,NA
BE,2009,MIS_MIS,10<24m,27.7.d,COD,NA,0.015,24.27,20,20,NA,NA,NA,NA
BE,2009,MIS_MIS,10<24m,27.7.d,OTH,NA,58.512,103403.79,21,21,NA,NA,NA,NA
BE,2009,MIS_MIS,10<24m,27.7.d,PLE,NA,0.403,486.48,22,22,NA,NA,NA,NA
BE,2009,MIS_MIS,10<24m,27.7.d,RJA,NA,0.01,7.44,23,23,NA,NA,NA,NA
BE,2009,MIS_MIS,10<24m,27.7.d,SOL,NA,0.163,1214.09,24,24,NA,NA,NA,NA
BE,2009,MIS_MIS,10<24m,27.7.d,TUR,NA,0.208,1554.48,25,25,NA,NA,NA,NA
BE,2009,MIS_MIS,24<40m,27.7.d,COD,NA,0.004,3.51,26,26,NA,NA,NA,NA
BE,2009,MIS_MIS,24<40m,27.7.d,COE,NA,0.023,31.97,27,27,NA,NA,NA,NA
BE,2009,MIS_MIS,24<40m,27.7.d,DAB,NA,0.045,31.61,28,28,NA,NA,NA,NA
BE,2009,MIS_MIS,24<40m,27.7.d,GUG,NA,0.017,14.62,29,29,NA,NA,NA,NA
BE,2009,MIS_MIS,24<40m,27.7.d,GUR,NA,0.552,391.78,30,30,NA,NA,NA,NA
BE,2009,MIS_MIS,24<40m,27.7.d,JAX,NA,0.017,16.66,31,31,NA,NA,NA,NA
BE,2009,MIS_MIS,24<40m,27.7.d,LEM,NA,0.214,1065.93,32,32,NA,NA,NA,NA
BE,2009,MIS_MIS,24<40m,27.7.d,MAC,NA,0.009,27.09,33,33,NA,NA,NA,NA
BE,2009,MIS_MIS,24<40m,27.7.d,OTH,NA,255.562,421639.91,35,35,NA,NA,NA,NA
BE,2009,MIS_MIS,24<40m,27.7.d,PLE,NA,1.861,2332.46,36,36,NA,NA,NA,NA
BE,2009,MIS_MIS,24<40m,27.7.d,POL,NA,0.003,7.12,37,37,NA,NA,NA,NA
BE,2009,MIS_MIS,24<40m,27.7.d,RJA,NA,0.016,30.42,38,38,NA,NA,NA,NA
BE,2009,MIS_MIS,24<40m,27.7.d,SOL,NA,1.646,12603.13,39,39,NA,NA,NA,NA
BE,2009,MIS_MIS,24<40m,27.7.d,TUR,NA,1.111,9216.39,40,40,NA,NA,NA,NA
BE,2009,MIS_MIS,24<40m,27.7.d,WHG,NA,0.025,68.82,41,41,NA,NA,NA,NA
BE,2009,MIS_MIS,24<40m,27.7.e,OTH,NA,111.311,159509.92,43,43,NA,NA,NA,NA
BE,2009,MIS_MIS,24<40m,27.7.e,PLE,NA,0.126,359.83,44,44,NA,NA,NA,NA
BE,2009,MIS_MIS,24<40m,27.7.e,TUR,NA,0.545,3786.5,46,45,NA,NA,NA,NA
BE,2009,OTB_CRU,10<24m,27.7.d,COD,NA,0.3,566.43,47,46,NA,NA,NA,NA
BE,2009,OTB_CRU,10<24m,27.7.d,COE,NA,0.029,45.66,48,47,NA,NA,NA,NA
BE,2009,OTB_CRU,10<24m,27.7.d,DAB,NA,0.196,97.41,49,48,NA,NA,NA,NA
BE,2009,OTB_CRU,10<24m,27.7.d,FLE,NA,0.053,14.98,50,49,NA,NA,NA,NA
BE,2009,OTB_CRU,10<24m,27.7.d,GUG,NA,0.003,1.17,51,50,NA,NA,NA,NA
BE,2009,OTB_CRU,10<24m,27.7.d,GUR,NA,0.053,32,52,51,NA,NA,NA,NA
BE,2009,OTB_CRU,10<24m,27.7.d,LEM,NA,1.258,3998.1,54,53,NA,NA,NA,NA
BE,2009,OTB_CRU,10<24m,27.7.d,OTH,NA,4.032,6375.98,56,55,NA,NA,NA,NA
BE,2009,OTB_CRU,10<24m,27.7.d,PLE,NA,0.977,998.8,57,56,NA,NA,NA,NA
BE,2009,OTB_CRU,10<24m,27.7.d,POL,NA,0.016,38.35,58,57,NA,NA,NA,NA
