"","stock","year","scenario","tac","catch","CS2020 catch"
"1","cod.27.7e-k",2020,"fixedEffort (sq_E)",1055,1520,1056
"2","cod.27.7e-k",2020,"had.27.7b-k",1055,1520,1056
"3","cod.27.7e-k",2020,"max",1055,1520,1056
"4","cod.27.7e-k",2020,"min",1055,1520,1056
"5","cod.27.7e-k",2020,"prev",1055,1520,NA
"6","cod.27.7e-k",2021,"fixedEffort (sq_E)",0,645,2787
"7","cod.27.7e-k",2021,"had.27.7b-k",0,638,2548
"8","cod.27.7e-k",2021,"max",0,694,3614
"9","cod.27.7e-k",2021,"min",0,29,0
"10","cod.27.7e-k",2021,"prev",0,648,NA
"11","cod.27.7e-k",2022,"fixedEffort (sq_E)",0,553,0
"12","cod.27.7e-k",2022,"had.27.7b-k",0,583,0
"13","cod.27.7e-k",2022,"max",0,543,0
"14","cod.27.7e-k",2022,"min",0,56,0
"15","cod.27.7e-k",2022,"prev",0,554,NA
"16","had.27.7b-k",2020,"fixedEffort (sq_E)",20274,22760,20413
"17","had.27.7b-k",2020,"had.27.7b-k",20274,22760,20277
"18","had.27.7b-k",2020,"max",20274,22760,20119
"19","had.27.7b-k",2020,"min",20274,22760,20253
"20","had.27.7b-k",2020,"prev",20274,22760,NA
"21","had.27.7b-k",2021,"fixedEffort (sq_E)",18382,21063,21512
"22","had.27.7b-k",2021,"had.27.7b-k",18382,18514,18416
"23","had.27.7b-k",2021,"max",18382,23989,30907
"24","had.27.7b-k",2021,"min",18382,1036,0
"25","had.27.7b-k",2021,"prev",18382,21118,NA
"26","had.27.7b-k",2022,"fixedEffort (sq_E)",18382,18971,0
"27","had.27.7b-k",2022,"had.27.7b-k",18382,18534,0
"28","had.27.7b-k",2022,"max",18382,20028,0
"29","had.27.7b-k",2022,"min",18382,1270,0
"30","had.27.7b-k",2022,"prev",18382,18935,NA
"31","meg.27.7b-k8abd",2020,"fixedEffort (sq_E)",20350,17595,20124
"32","meg.27.7b-k8abd",2020,"had.27.7b-k",20350,17595,20124
"33","meg.27.7b-k8abd",2020,"max",20350,17595,20124
"34","meg.27.7b-k8abd",2020,"min",20350,17595,20124
"35","meg.27.7b-k8abd",2020,"prev",20350,17595,NA
"36","meg.27.7b-k8abd",2021,"fixedEffort (sq_E)",19184,18764,21130
"37","meg.27.7b-k8abd",2021,"had.27.7b-k",19184,18856,16952
"38","meg.27.7b-k8abd",2021,"max",19184,24924,43915
"39","meg.27.7b-k8abd",2021,"min",19184,5123,0
"40","meg.27.7b-k8abd",2021,"prev",19184,17576,NA
"41","meg.27.7b-k8abd",2022,"fixedEffort (sq_E)",19184,19367,0
"42","meg.27.7b-k8abd",2022,"had.27.7b-k",19184,19931,0
"43","meg.27.7b-k8abd",2022,"max",19184,24719,0
"44","meg.27.7b-k8abd",2022,"min",19184,6033,0
"45","meg.27.7b-k8abd",2022,"prev",19184,21619,NA
"46","mon.27.78abd",2020,"fixedEffort (sq_E)",24343,30848,24349
"47","mon.27.78abd",2020,"had.27.7b-k",24343,30848,24349
"48","mon.27.78abd",2020,"max",24343,30848,24349
"49","mon.27.78abd",2020,"min",24343,30848,24349
"50","mon.27.78abd",2020,"prev",24343,30848,NA
"51","mon.27.78abd",2021,"fixedEffort (sq_E)",34579,29900,34467
"52","mon.27.78abd",2021,"had.27.7b-k",34579,26919,28702
"53","mon.27.78abd",2021,"max",34579,35702,62462
"54","mon.27.78abd",2021,"min",34579,3989,0
"55","mon.27.78abd",2021,"prev",34579,29663,NA
"56","mon.27.78abd",2022,"fixedEffort (sq_E)",34579,30249,0
"57","mon.27.78abd",2022,"had.27.7b-k",34579,28855,0
"58","mon.27.78abd",2022,"max",34579,33954,0
"59","mon.27.78abd",2022,"min",34579,5473,0
"60","mon.27.78abd",2022,"prev",34579,31404,NA
"61","nep.27.7bk",2020,"fixedEffort (sq_E)",8071,10224,0
"62","nep.27.7bk",2020,"had.27.7b-k",8071,10224,0
"63","nep.27.7bk",2020,"max",8071,10224,0
"64","nep.27.7bk",2020,"min",8071,10224,0
"65","nep.27.7bk",2020,"prev",8071,10224,NA
"66","nep.27.7bk",2021,"fixedEffort (sq_E)",9867,10224,6691
"67","nep.27.7bk",2021,"had.27.7b-k",9867,9342,7225
"68","nep.27.7bk",2021,"max",9867,11061,24193
"69","nep.27.7bk",2021,"min",9867,0,0
"70","nep.27.7bk",2021,"prev",9867,9599,NA
"71","nep.27.7bk",2022,"fixedEffort (sq_E)",9867,10224,NA
"72","nep.27.7bk",2022,"had.27.7b-k",9867,9560,NA
"73","nep.27.7bk",2022,"max",9867,11088,NA
"74","nep.27.7bk",2022,"min",9867,0,NA
"75","nep.27.7bk",2022,"prev",9867,9757,NA
"76","sol.27.7fg",2020,"fixedEffort (sq_E)",1652,1375,1652
"77","sol.27.7fg",2020,"had.27.7b-k",1652,1375,1652
"78","sol.27.7fg",2020,"max",1652,1375,1652
"79","sol.27.7fg",2020,"min",1652,1375,1652
"80","sol.27.7fg",2020,"prev",1652,1375,NA
"81","sol.27.7fg",2021,"fixedEffort (sq_E)",1413,1401,1391
"82","sol.27.7fg",2021,"had.27.7b-k",1413,543,688
"83","sol.27.7fg",2021,"max",1413,1685,2620
"84","sol.27.7fg",2021,"min",1413,27,0
"85","sol.27.7fg",2021,"prev",1413,1364,NA
"86","sol.27.7fg",2022,"fixedEffort (sq_E)",1413,1360,0
"87","sol.27.7fg",2022,"had.27.7b-k",1413,653,0
"88","sol.27.7fg",2022,"max",1413,1511,0
"89","sol.27.7fg",2022,"min",1413,24,0
"90","sol.27.7fg",2022,"prev",1413,1329,NA
"91","whg.27.7b-ce-k",2020,"fixedEffort (sq_E)",8772,9245,8787
"92","whg.27.7b-ce-k",2020,"had.27.7b-k",8772,9245,8719
"93","whg.27.7b-ce-k",2020,"max",8772,9245,8735
"94","whg.27.7b-ce-k",2020,"min",8772,9245,8765
"95","whg.27.7b-ce-k",2020,"prev",8772,9245,NA
"96","whg.27.7b-ce-k",2021,"fixedEffort (sq_E)",5261,8619,9719
"97","whg.27.7b-ce-k",2021,"had.27.7b-k",5261,8247,8667
"98","whg.27.7b-ce-k",2021,"max",5261,9704,13635
"99","whg.27.7b-ce-k",2021,"min",5261,0,0
"100","whg.27.7b-ce-k",2021,"prev",5261,8734,NA
"101","whg.27.7b-ce-k",2022,"fixedEffort (sq_E)",5261,8386,0
"102","whg.27.7b-ce-k",2022,"had.27.7b-k",5261,8312,0
"103","whg.27.7b-ce-k",2022,"max",5261,8668,0
"104","whg.27.7b-ce-k",2022,"min",5261,0,0
"105","whg.27.7b-ce-k",2022,"prev",5261,8381,NA
